,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
209,Yellowstone Romance,TV Movie-Comedy-Romance-Drama,en,Johnson Production Group-eOne Films-eOne Entertainment-Cinema Tone,0,0,84,Released,2022,As maid of honor Olivia plans her best friend’s bridal shower at a ranch where handsome rancher Travis shows her that life and love could be great on a ranch.,1,,
210,The Winter Palace,TV Movie-Comedy-Romance,en,Hideaway Pictures-Brad Krevoy Television-All Canadian Entertainment-HP Winter Palace Production,0,0,85,Released,2022,A novelist with a severe case of writer’s block is given the chance to finish her book at an empty winter chateau. She's surprised when the property's owner a prince decides to come stay as well.,1,,
211,Don't Forget I Love You,TV Movie-Romance-Comedy,en,Johnson Production Group-Eros Productions,0,0,84,Released,2022,Taylor is a successful woman whose job is her life. Her thirtieth birthday arrives where it turns out that her previously deceased mother has placed various tasks for her in a time capsule. They are the basis for stepping out of your comfort zone and gaining new experiences.,1,,
216,You Are Not My Mother,Horror-Thriller,en,Screen Ireland-Fantastic Films,0,0,93,Released,2022,In a North Dublin housing estate Char's mother goes missing. When she returns Char is determined to uncover the truth of her disappearance and unearth the dark secrets of her family.,1,88,51
219,Kambodja,Drama-Romance,en,Falcon Pictures-Klikfilm Production,0,0,75,Released,2022,Danti and Bayu live in the same boarding house with their respective partners. Both are often left by their partners until they become close. It even involves feelings. When Danti decides to keep her distance from Bayu she finds out that her husband Sena has a relationship with Lastri Bayu's wife.,1,,
222,A Second Chance at Love,TV Movie-Comedy-Romance,en,NGN Productions,0,0,84,Released,2022,"The film centers around Alicia and Arnold’s picture-perfect marriage but underneath the surface there is something amiss. Arnold is ready to grow their family but Alicia is hesitant to the idea. Rather than face the problem head on Alicia the self-proclaimed ""love doctor"" immerses herself in her divorced parents Jack and Brenda’s dating affairs by setting them each up on a blind date dating app.",1,,
226,Fatal Fandom,Thriller-TV Movie,en,The Ninth House,0,0,85,Released,2022,When famous pop star Eden Chase is almost kidnapped by a crazed fan she enlists the help of handsome brooding bodyguard Jackson Reed to move into her home and become her security full-time. But when Jackson develops an unhealthy attachment to Eden she soon realizes the man she’d called her protector–has now become a predator harboring a dark secret from the past–and that she must outwit him or become prey.,1,,
228,House of Darkness,Thriller-Horror,en,SSS Entertainment-Saban Films-Well Go USA Entertainment,0,0,88,Released,2022,Driving home to her secluded estate after meeting at a local bar a player out to score thinks his beautiful mysterious date will be another casual hook-up. While getting acquainted their flirtation turns playful sexy and sinister. Hoping to get lucky his luck may have just run out.,1,,
230,God's Creatures,Drama,en,BBC Film-Screen Ireland-A24-Sixty Six Pictures-WRAP Fund,0,0,101,Released,2022,In a windswept fishing village a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community.,1,,
231,Where Your Heart Belongs,TV Movie-Comedy-Romance,en,Johnson Production Group,0,0,84,Released,2022,Mackenzie Sullivan is a New York-based marketing executive struggling to keep her clients. When she returns home to a rural maple farm to help her best friend plan her wedding in just two weeks Mackenzie learns the hard way that the love and support of family and true friends means more than she'd imagined.,1,,
232,Press Play,Music-Romance-Fantasy-Drama-Science Fiction,en,CJ Entertainment,0,0,85,Released,2022,Laura and Harrison have the picture-perfect romance built on the foundation of a shared love of music. After a deadly accident Laura gets the chance to save the love of her life when she discovers that their mixtape can transport her back in time.,1,,
235,How to Please a Woman,Comedy,en,Such Much Films-Feisty Dame Productions,0,0,107,Released,2022,When her all-male house-cleaning business gets out of control a mature woman must embrace her own sexuality if she is to make a new life for herself.,1,69,60
238,God's Country,Thriller-Western,en,Cold Iron Pictures-The Film Arcade,0,0,102,Released,2022,When a grieving college professor confronts two hunters she catches trespassing on her property she's drawn into an escalating battle of wills with catastrophic consequences.,1,,
239,Sam & Kate,Comedy-Drama-Romance,en,Buffalo 8-Kodiak Pictures-Volition Media Partners-Thomasville Pictures-Story in The Sky-New Legend Entertainment,0,0,110,Released,2022,Bill is an ailing larger-than-life father being taken care of by his son Sam who has returned home to care for him. While home Sam falls for a local woman Kate. At the same time Bill starts to fall for her mom Tina.,1,,
240,1Up,Comedy,en,Lionsgate-BuzzFeed Studios-CR8IV DNA,0,0,100,Released,2022,After Valerie Lee quits her college esports team she quickly realizes that her decision comes at the cost of her scholarship. Valerie soon discovers a loophole to save her collegiate future if she can find a coach and assemble a whole new varsity-caliber team capable of reaching the State Finals.,1,,46
245,"Love, Game, Match",TV Movie-Comedy-Romance-Family,en,Champlain Media-Pictureland,0,0,85,Released,2022,When economics teacher and new-in-town Liz challenges her high school students to create business plans she has no idea that the class winners will actually start their own matchmaking service! Asked to set up her own profile to help them kickstart their careers as well as team up with handsome tennis coach Ted to organize the school carnival Liz must navigate the dynamics of this new school as well as the algorithms of her own heart.,1,,
246,The Presence of Love,TV Movie-Romance-Family,en,Hallmark Media-Leif Films,0,0,84,Released,2022,The film follows adjunct professor Joss who travels to England to visit the farm where her late mother grew up and bonds with single father Daniel whose family now runs it.,1,,
247,The Engagement Back-Up,TV Movie-Comedy-Romance-Family,en,Reel One Entertainment-Champlain Media-CMW Spring Productions,0,0,85,Released,2022,When traditionalist historian Luna is entrusted with the legacy of her late father’s nautical museum she must pretend that she’s engaged to the infamous son of a tech mogul in order to save it. But in discovering that there’s more to Jackson than meets the eye can she broaden her romantic horizons as well as her professional ones?,1,,
251,Joyride,Comedy-Drama-Crime,en,Ingenious Media-Screen Ireland-Subotica Entertainment-Embankment Films,0,0,94,Released,2022,A train-wreck on an adventure who is ready to give away her new-born baby. Joined by a cheeky street urchin they are two diamonds in the rough on the run.,1,,
252,They Want Me Gone,Horror-Thriller-Drama,en,Flexible Films,0,0,90,Released,2022,As she struggles to escape rural poverty with her daughter a loving mother suspects those closest to them of turning on her.,1,,
253,Night Caller,Horror-Thriller,en,Crappy World Films-Girls and Corpses,0,0,84,Released,2022,Telephone psychic Clementine Carter is pulled into a complex web of mystery when she receives a call from a serial killer. Predicting his murders before he commits them puts her into a terrifying game of cat and mouse. Enlisting the aid of her invalid father and clairvoyant co-worker they must use their unique abilities to stay one step ahead of a maniac whose unspeakable acts in the present are nothing compared to his past and future.,1,,
256,The Estate,Comedy-Drama,en,Capstone Pictures-Pretty Matches Productions-Signature Films,0,0,91,Released,2022,Two sisters attempt to win over their terminally ill difficult-to-please aunt in hopes of becoming the beneficiaries of her wealthy estate only to find the rest of their greedy family members have the same idea.,1,,
258,Mother Mountain,Drama,en,Slinki Productions-Studio Da-Earthstar Productions,0,0,105,Released,2022,A young restless Jewish mother and her family move to an idyllic country property at the base of a mystical and sacred Aboriginal mountain (Gulaga or “Mother Mountain”) with the hope of starting a new life. Still haunted by a marriage break-up and a strained relation with her parents she struggles to find a meaningful connection with her new partner. When her daughter is bullied at the local school an enigmatic Indigenous boy Ren comes to her aid and opens her eyes to the magic of the mountain and its bucolic surrounds. But an unexpected visit from her parents reopens old wounds with unexpected consequences.,1,,
260,Where the Scary Things Are,Horror,en,Lionsgate,0,0,97,Released,2022,The horror begins as Ayla and her high-school friends discover a hideous semi-human mutant. They keep it prisoner while shooting repulsive viral videos but the gang’s hunger for “likes” drives them to film the beast performing murderous acts. When one boy sees that Ayla is using the monster’s gruesome violence to settle her own vendettas he threatens to tell the authorities but is he too late to save his friends?,1,,
261,Styled with Love,TV Movie-Romance-Comedy-Family,en,Reel One Entertainment-Champlain Media-CME Spring Productions,0,0,85,Released,2022,Moving from small-town Iowa to Chicago an ambitious personal-stylist hires a professional photographer to help promote her new fashion venture; a partnership which teaches her that when it comes to finding love and success in the city all you need to do is stay true to the style in your own heart.,1,,
271,Good Girl Jane,Drama,en,Astute Films,0,0,117,Released,2022,Eager to fit in at her new school and at odds with her divorced parents lonely high schooler Jane spirals out of control after falling in with a new crowd and becoming smitten with a dangerously charismatic bad boy.,1,70,
272,The Accursed,Horror,en,Blood Red Films-Storyoscopic Films,0,0,96,Released,2022,Elly is asked by a family friend to spend a few days looking after an elderly woman living in a remote cabin. She readily agrees thinking a short trip to the woods will be a nice escape. The cabin turns out to be anything but relaxing as Elly begins hallucinating in ways that blur reality with her dreams. As the visions take over Elly realizes that she was lured there by a demonic presence hiding inside of the woman just waiting to break free.,1,,
273,14 Love Letters,TV Movie-Romance,en,Brain Power Studio,0,0,84,Released,2022,After historic love letters start anonymously appearing in Kallie Sharp's mailbox the hobby farmer searches for her secret admirer and opens herself up to love.,1,,
274,The Huntress: Rune of the Dead,Horror-Adventure,en,ITN Films-Tirzitis Entertainment,0,0,105,Released,2022,When Runa’s father disappears on a viking journey she steps up as head of her family but she is tormented by strange nightmares. One day when she is out hunting she stumbles across a wounded warrior who carries news of her father new that seem connected to her dreams. Something is coming for them something vile.,1,,
275,The Attraction Test,TV Movie-Comedy-Romance-Family,en,Reel One Entertainment-Champlain Media-CMW Summer Productions,0,0,85,Released,2022,As an acclaimed college professor prepares to unveil her landmark study that sparks love between strangers the launch is threatened when she’s criticized for not taking “The Dating Test” herself. Though she’s vowed never to fall in love again she agrees to take the test with her biggest critic.,1,,
280,Harmony From The Heart,TV Movie-Comedy-Romance,en,Motion Picture Corporation of America-Brad Krevoy Television-All Canadian Entertainment,0,0,85,Released,2022,Violet is a woman chasing her dream job not without getting a difficult task from her professor she realizes that she loves helping people and her heart begins to open again.,1,,
283,Unboxed,Horror,en,U&S Productions,0,0,73,Released,2022,Laura Diaz is an up-and-coming influencer under pressure by a VIP sponsor to give her best performance for a Halloween live stream giveaway. As the stream starts with a series of trivia questions the night takes a creepy turn when a mysterious user comments on Laura's personal life. As Laura continues to open gift boxes from her sponsors she soon discovers that some of the boxes have grotesque gifts inside of them. The mysterious user then texts Laura and explains that she will have to play along with his own sick game of giveaway or else there will be a deadly price to pay.,1,,
284,Sin Eater,Horror-Thriller-Mystery,en,Indican Pictures,0,0,85,Released,2022,After suffering a terrifying injury Christine finds herself alone and stranded in a remote town harboring a dark secret. As she tries to recuperate she slowly begins to discover intense bizarre religious phenomena occurring around her. With no one to trust and her time running out Christine realizes that she will have to fight her inner demons as well as the actual demons who are trying to take her soul in order to make it out alive.,1,,10
285,The Good Witch of Christmas,Comedy-Family-Fantasy,en,Minerva Pictures Group-Iervolino Entertainment,0,0,76,Released,2022,"In this adorable sequel to ""Christmas Thieves"" Frank and Tony are babysitting for Liam and Olivia while their parents Emma and Peter are out shopping for last-minute Christmas presents. Emma and Peter get into an accident with Santa Claus and have scared off all of his reindeer. Santa needs to call for back-up and the only person left to save the day is the Christmas Witch. Unbeknownst to Santa the Christmas Witch has accidentally landed in front of Olivia and Liam's house and she has completely lost her memory. Liam Olivia Frank and Tony try to find answers for the Witch in the book ""Puffins"". Will the Puffins help the Witch remember that she needs to go help Santa in enough time to save Christmas? This heartwarming live-action and animated Christmas film is filled with lots of holiday magic and is something the whole family will enjoy together.",1,,
287,A Royal Runaway Romance,TV Movie-Comedy-Romance,en,Lighthouse Pictures-Hallmark Media-Principle Productions,0,0,84,Released,2022,Princess Amelia of Bundbury travels across America to explore a budding romance with an artist only to fall in love with her bodyguard Grady.,1,,
297,Killer Ambition,Thriller-TV Movie,en,MarVista Entertainment-The Ninth House,0,0,85,Released,2022,Sylvia is an ambitious businesswoman and the owner of a successful jewelry company. However strange things begin to happen to her when she joins a secret society for female entrepreneurs.,1,,
302,Mr. Malcolm's List,Comedy-Drama-Romance,en,Ingenious Media-Screen Ireland-Blinder Films-Untitled Entertainment-Refinery29-Rebelle Media-Bleecker Street,0,0,117,Released,2022,When she fails to meet an item on his list of requirements for a bride Julia Thistlewaite is jilted by London’s most eligible bachelor Mr. Malcolm. Feeling humiliated and determined to exact revenge she convinces her friend Selina Dalton to play the role of his ideal match. Soon Mr. Malcolm wonders whether he’s found the perfect woman...or the perfect hoax.,1,,
303,Children of Sin,Horror,en,CWM Entertainment,0,0,94,Released,2022,When Emma’s abusive stepfather finds out that she’s pregnant and her brother Jackson is gay he sends them to Abraham House a religious retreat for young adults to correct their sinning ways. Soon they start to suspect that Abraham House has a more sinister way of cleansing their souls than they could have ever imagined.,1,43,50
304,The Eternal Daughter,Drama-Mystery,en,BBC Film-Element Pictures-Sikelia Productions-A24-JWH Films,0,0,96,Released,2022,An artist and her elderly mother confront long-buried secrets when they return to a former family home now a hotel haunted by its mysterious past.,1,95,44
306,Destination Love,TV Movie-Romance-Comedy,en,Incendo Productions-Screentime-Incendo Media,0,0,90,Released,2022,Madison has the chance to pursue her love of event management when her two best friends announce their engagement. Finding a pre-planned wedding package on a remote island vineyard in New Zealand Madison teams up with David the handsome vineyard owner to re-imagine the event for her friends.,1,,
307,Where’s Rose,Thriller-Horror,en,TriCoast Worldwide-Nonlinear Studios-Barnegat Studios-Bobadilla Productions,0,0,83,Released,2022,When a little girl is found after going missing only her older brother recognizes the evil force that has returned in her place.,1,,
310,A Week in Paradise,Romance-Comedy,en,Screen Media Films-Highfield Grange Studios-MSR Media-Chicken Soup for the Soul Entertainment,0,0,95,Released,2022,The film tells the tale of Maggie a film star whose world collapses when her film director husband is outed by the paparazzi when it’s discovered his new leading lady is pregnant with his baby. Seeking solace and healing Maggie escapes to her ex-pat cousin’s beautiful hotel in Nevis. After a week in paradise she discovers herself and meets a new love interest. Then the outside world comes crashing back in.,1,,0
313,Attack of the 50 Foot Camgirl,Science Fiction-Comedy,en,Full Moon Features,0,0,61,Released,2022,Beverly Wood is one of the biggest stars on social media. Millions of fans subscribe to her salacious cam shows and buy her products and it seems like everyone loves her. Everyone that is except her husband and Fuschia the young upstart who secretly plots to bring Beverly down and take over her online empire forever!  But when Beverly’s latest – and untested – brand “Unholy Meat-rimony” gives her some gargantuan side effects she becomes an even bigger force to be reckoned with! Ballooning to beastly proportions the now 50-foot tall influencer becomes super large totally in charge and ready for revenge…,1,,
323,The Affairs of Lidia,Comedy,en,Lust Cinema,0,0,95,Released,2022,In this erotic comedy set in the world of fashion Lidia discovers that her boxer husband has an affair with a photographer and so she astutely plots her revenge.,1,,
327,The Reef: Stalked,Thriller-Horror,en,ProdigyMovies-Mysterious Light-Cornerstone Pictures-Thrills & Spills-Truth or Dare-Filmology Finance,0,0,93,Released,2022,After her sister's murder Nic her younger sister and two friends seek solace through a Pacific island kayaking adventure. Hours into the trip the women are stalked by a shark and must band together face their fears and save each other.,1,,
331,Blackbird,Crime-Action-Romance,en,Dance Lord Productions-Ego Studio,0,0,88,Released,2022,"Troubled secret agent ""Blackbird"" abruptly retires from service and opens a luxurious nightclub in the Caribbean to escape the dark shadows of his past. An old flame arrives and reignites love in his life but she brings danger with her.",1,,
335,Christmas in Toyland,TV Movie-Comedy-Romance,en,Vortex Productions,0,0,84,Released,2022,When Charlie Sawyer a data analyst at a toy store chain discovers the only way to keep their brick and mortar locations open is to replicate whatever the company’s best performing location is doing she's sent by corporate to meet convivial yet stubborn store manager Grant Levinson whose secret to success will challenge her to open up her mind… and her heart.,1,,43
338,Attachment,Romance-Horror-Comedy,en,Nordisk Film Denmark-New Danish Screen,0,0,105,Released,2022,Maja a Danish actress past her prime falls in love with Leah a young Jewish academic from London. Leah suffers a mysterious seizure and Maja returns with her to London. There she meets Leah’s mother an overbearing woman who could hold dark secrets.,1,94,47
341,Dark Night of the Scarecrow 2,Horror,en,Burlap Pictures Inc.,0,0,85,Released,2022,When Chris Rhymer and her young son Jeremy are forced to relocate to a small rural community they have no idea of the past terror that their presence will re-awaken.,1,,
342,Persuasion,Romance-Drama-Comedy,en,Mad Chance-MRC-Bisous Pictures-Fourth & Twenty Eight Films,0,0,108,Released,2022,Living with her snobby family on the brink of bankruptcy Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.,1,30,75
347,The Girl on the Mountain,Thriller-Drama,en,Saban Films-Well Go USA Entertainment-Movie Heroes Studios-Plus Ultra Pictures,0,0,94,Released,2022,When a reclusive backwoodsman finds a mute little girl wandering alone in the forest he must protect her from the evil forces determined to end her life.,1,,83
348,Rosaline,Comedy-Romance,en,21 Laps Entertainment-20th Century Studios,0,0,96,Released,2022,Left heartbroken after Romeo begins to pursue her cousin Juliet Rosaline schemes to foil the famous romance and win back her guy in this comedic twist of Shakespeare's Romeo and Juliet.,1,74,77
357,The Deal,Science Fiction,en,Electric Entertainment-Balkanic Media-LinLay Productions,0,0,92,Released,2022,A mother fights to save her ailing daughter after a global pandemic worse than any seen before ravaged the planet leaving resources so scarce you must pay for them with your life.,1,,
358,The Wedding Fix,TV Movie-Comedy-Romance,en,Reel One Entertainment-Champlain Media-CMW Horizon Productions,0,0,85,Released,2022,Reeling from a break-up professional over-planner Gwen pitches in to help put the finishing touches on her best friend’s wedding. But when she's teamed up with best man Josh a free-spirited nature guide she finds that pulling together this wedding might not be as easy as she thought.,1,,
360,Girl in the Shed: The Kidnapping of Abby Hernandez,Drama-Thriller-TV Movie,en,Johnson Production Group-Sprott Productions,0,0,85,Released,2022,The true story of 14-year-old freshman Abby Hernandez who vanished while walking home from school in North Conway New Hampshire. Kicking off the state’s largest search Abby’s disappearance left her family especially her mother Zenya  investigators and the community mystified of her whereabouts. Taken by Nathaniel Kibby Abby was kept is a soundproof container and forced to wear a shock collar while enduring psychological sexual and emotional abuse. Despite suffering daily torture Abby kept hope alive that she would one day be able to see her family again.,1,,
362,Nocebo,Horror-Thriller,en,Epicmedia-Lovely Productions-Wild Swim Films,0,0,96,Released,2022,A fashion designer hires a nanny from the Philippines to assist her in caring for her family while she is suffering from what she believes is a tick-related illness. The nanny uses traditional Filipino folk healing techniques to help her but in the process of doing so she uncovers a horrifying truth about why she is there and why her employer is actually sick.,1,71,67
365,Fatal Memory,TV Movie-Thriller-Drama-Romance,en,Cartel Pictures-The Cartel,0,0,85,Released,2022,After a violent car accident robs Grace of her memory a handsome stranger enters her life insisting that they are lovers. As her memory returns bit by bit the stranger's story begins to unravel. Grace is forced to fill in the gaps and uncover the truth suddenly fearing for her life.,1,,
372,The Wedding Veil Legacy,TV Movie-Comedy-Romance,en,Front Street Pictures-UFO International Productions-Beth Grossbard Productions-Veil Road Productions,0,0,84,Released,2022,Trаcy meets Nick in the third instаllment of the trilogy аnd he helps her sаve аn originаl drаft of The New Colossus in exchаnge for her helping him run his restаurаnt. Trаcy begins to feel uneаsy аs they get closer.,1,,
380,Fantasy Football,Comedy-Family,en,Nickelodeon Movies-NFL Films-Nickelodeon Productions-SpringHill Entertainment-Genius Productions,0,0,98,Released,2022,Callie A. Coleman discovers she can magically control her father Bobby’s performance on the football field. When Callie plays as her dad Bobby is transformed from a fumblitis-plagued journeyman to a star running back bound for superstardom alongside his daughter and wife Keisha.,1,33,80
384,Scorched Earth,Science Fiction-Thriller-Action-Drama,en,Retro Gem Media-Morrison Productions,0,0,63,Released,2022,After the apocalypse all water is radioactive and deadly to drink. In this dystopian world Gylian goes to extreme lengths to make sure her daughter gets the medication she needs to survive.,1,18,40
386,The Sky Is Everywhere,Drama-Romance-Music,en,Di Novi Pictures-A24-Alice the Who,0,0,103,Released,2022,Lennie is a teen musical prodigy grieving the death of her sister when she finds herself caught between a new guy at school and her sister's devastated boyfriend. Through her vivid imagination and conflicted heart Lennie navigates first love and first loss.,1,65,58
389,Dear Zoe,Drama,en,Zin Haze Productions,0,0,94,Released,2022,Tess enlists her biological father - a lovable slacker from the wrong side of the tracks - and the charming juvenile delinquent next door to help her come to grips with the death of her little sister.,1,71,89
398,The People's Joker,Comedy,en,Haunted Gay Ride Productions,0,0,92,Released,2022,An aspiring clown grappling with her gender identity combats a fascistic caped crusader in writer-director Vera Drew's uproariously subversive queer coming-of-age origin story.,1,,
399,Love in the Villa,Romance-Comedy,en,Off Camera Entertainment-Grumpy Entertainment,0,0,114,Released,2022,A young woman takes a trip to romantic Verona Italy after a breakup only to find that the villa she reserved was double-booked and she'll have to share her vacation with a cynical British man.,1,33,34
401,Motherly,Thriller-Horror,en,Federgreen Entertainment-Lucky Dime Films,0,0,90,Released,2022,Kate and her daughter Beth live alone in an isolated farmhouse in the woods but when Kate slowly begins to suspect that something sinister is happening her motherly instincts are put to the test.,1,86,74
402,Listen Out For Love,TV Movie-Comedy-Romance,en,Reel One Entertainment,0,0,85,Released,2022,Peyton Pepper a goal-driven podcast producer is forced to mold Alex McKinney a brash loose cannon into her next star and create the perfect show to save both of their careers. That show comes in the form of finding Peyton’s iconic idol true love. But as the duo goes along for the ride they are the ones who find love–once they open their hearts and listen.,1,,
406,Surrogate,Horror-Thriller,en,Black Spade Productions-King Chester Productions,0,0,91,Released,2022,A ghost horror about single mother and nurse Natalie who falls mysteriously ill and struggles to stop her family from being destroyed.,1,,
408,The Royal Treatment,Romance-Comedy,en,Focus Features International (FFI),0,0,96,Released,2022,Isabella runs her own salon and isn’t afraid to speak her mind while Prince Thomas runs his own country and is about to marry for duty rather than love. When Izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding she and Prince Thomas learn that taking control of their own destiny requires following their hearts.,1,35,35
410,Guiltless,Thriller-Drama-Horror,en,Shutter Thunder-Savage Brainchild,0,0,91,Released,2022,When 16-year old Samantha has the house to herself over the weekend she plans a romantic night for her and her girlfriend. However when an intruder makes his way into her home it's fight or flight on a night that will change her life.,1,,
411,The Drover's Wife: The Legend of Molly Johnson,Drama-Western-Thriller,en,Bunya Productions-oombarra productions,0,0,109,Released,2022,In 1893 heavily pregnant Molly Johnson and her children struggle in isolation to survive the harsh Australian landscape after her husband left to go droving sheep in the high country. One day she finds a shackled Aboriginal fugitive named Yakada wounded on her property. As an unlikely bond begins to form between them he reveals secrets about her true identity. Realizing Molly’s husband is actually missing new town lawman Nate Clintoff starts being suspicious and sends his constable to investigate.,1,,
419,Aloha with Love,Comedy-Romance,en,Fade to Black Films-UglyMugg-Think Think Go,0,0,90,Released,2022,Gemma a big city architect must fly to the Hawaii in order to handle the estate of her late Aunt. At her Aunt's request she must first renovate the house. Ben a handsome country-boy contractor helps her revive the home and in the process revitalizes Gemma.,1,,
424,As They Made Us,Drama-Romance-Comedy,en,Screen Media Ventures-Yale Productions-BondIt-Film Mode Entertainment-Vested Interest-Carte Blanche-Sad Clown Productions,0,0,96,Released,2022,Abigail a divorced mother of two is struggling to balance the dynamics within her dysfunctional family as she attempts to cultivate new love.,1,81,87
427,Ella And The Little Sorcerer,Adventure-Animation-Fantasy,en,Gold Valley Films,0,0,91,Released,2022,When Prince Alex is trapped in the body of a mouse Ella and her friends set off on a journey to find the magic potion ingredients that can change him back. On a quest that tests fate itself they discover that friendship is the most potent cure of all.,1,,
428,Cha Cha Real Smooth,Comedy-Drama-Romance,en,Endeavor Content-PictureStart-TeaTime Pictures,0,0,108,Released,2022,Fresh out of college and stuck at his New Jersey home without a clear path forward 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs—where he strikes up a unique friendship with a young mom and her teenage daughter.,1,85,61
433,Farmer Seeking Love,TV Movie-Romance-Comedy,en,Incendo Productions-Incendo Media,0,0,90,Released,2022,As a talented producer for the dating reality-TV show 'Head Over Heels' Claire Bardoz's days are spent behind the curtain focused on producing the epic love stories of her contestants all the while living vicariously through her own lacking love life.,1,,
436,Tin Can,Science Fiction-Horror,en,Cut Off Tail-levelFILM,0,0,104,Released,2022,As the world faces a deadly plague humanity's hope for a cure lies with a scientist who awakens imprisoned in a metal chamber. She desperately works to escape her confined cell to save the last of humanity.,1,80,60
438,Nanny,Horror-Drama,en,Blumhouse Productions-Amazon Studios-Stay Gold Features-Topic Studios-LinLay Productions,0,0,99,Released,2022,Senegalese immigrant Aisha lands a job as a nanny for a wealthy Manhattan couple. As she prepares for the arrival of the son she left behind in Senegal a violent presence begins to invade both her dreams and her reality threatening to destroy the American Dream she is painstakingly piecing together.,1,90,62
447,Just Another Dream,Action-Drama,en,Blue Bird Productions-Rock Solid Creative Studios,0,0,91,Released,2022,When a fateful injury sparks an ordinary girl to have foretelling dreams she is forced into a race against time to save her family and prove her sanity.... or is it JUST ANOTHER DREAM?,1,,
452,Mengejar Surga,Drama-Romance,en,MAXStream-Viera Film,0,0,93,Released,2022,Atiqah a woman who grew up without a father when she grew up decided to fly to Holland and look for her father. In the course of his search he meets an important figure in his life.,1,,
455,After She Died,Horror-Mystery-Thriller,en,Apostle Digital,0,0,101,Released,2022,A young woman is horrified to discover that her father's new girlfriend looks identical to her dead mother.,1,,
456,Deadly House Call,Thriller-Drama-TV Movie,en,Lifetime-Johnson Production Group-Fireside Pictures,0,0,87,Released,2022,A busy working mother hires a nurse to care for her wealthy father who has early onset dementia. Soon a bizarre deception creeps into play when the seductive nurse makes a play for the family fortune.,1,,
458,Abduction Runs in the Family,TV Movie-Thriller,en,Robbins Entertainment,0,0,88,Released,2022,Alyssa Manning was abducted as a small child and spent seven years living with her kidnapper before she was returned safely to her parents.,1,,
462,They Live in the Grey,Horror,en,STANDOFF Pictures-Whiskey Stream Films,0,0,124,Released,2022,While investigating a child abuse case Claire discovers that the family is being tormented by a supernatural entity. In order to save the family she must confront her own fears and use her emerging clairvoyance to stop the malevolent force.,1,58,66
466,A Priceless Love,TV Movie-Comedy-Romance-Family,en,Reel One Entertainment-CME Winter Productions,0,0,85,Released,2022,After realizing one of the “gently used” items in her secondhand store is actually an antique teapot worth $80K Rose McGovern finds herself the sights of Joe Burnsides an ambitious antique broker. He’s determined to buy the teapot from Rose but she refuses to sell until she can find the original owner.,1,,
467,Black Is Beltza II: Ainhoa,Animation-Crime-Thriller,en,Talka Records & Films-AMBRA Projectes Culturals,0,0,85,Released,2022,Ainhoa is born by chance in La Paz (Bolivia); but she grows up in Cuba and at the age of 21 in 1988 she travels to the Basque Country (Spain) to discover the land of Manex her father. In the midst of political struggle she meets Josune a committed journalist and her group of friends.,1,,
473,The Moderator,Action-Thriller,en,H Films-Saban Films-LineDrive Studio,0,0,81,Released,2022,After the murder of her two Scandinavian friends in Morocco a Russian blogger decides to do her own justice.,1,,20
479,Cosmic Dawn,Science Fiction-Thriller,en,Cranked Up Films-Prowler Pictures,0,0,98,Released,2022,"After witnessing the alien abduction of her mother as a child Aurora joins the UFO cult ""The Cosmic Dawn"". At the cult's remote compound Aurora experiences miraculous revelations and consciousness-expanding flowers but all isn't as it seems with the cult's leader Elyse. Now moved on from the cult Aurora is forced to confront her past and pursue the ultimate truth about The Cosmic Dawn.",1,83,43
480,The Nan Movie,Comedy,en,DJ Films-Great Point Media-Merlin Films-Sulcata Productions-Zahala Productions-Lip Sync Productions,0,0,95,Released,2022,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell. Militant vegan arsonists raucous rugby teams all night raves and crazed cops on motorbikes all make for a proper day out. An origin story that mixes Nan's present with her past where we finally find out what's made her the cantankerous old bastard she is today.,1,0,44
481,The Engagement Plot,TV Movie-Comedy-Romance,en,True Brand Entertainment-Access Media Group-Janicek Entertainment,0,0,86,Released,2022,After getting her heart broken on The Price of Love a wildly popular dating reality show that matches 20-something female contestants with a young financially successful bachelor teacher Hanna Knight has returned to her small-town Colorado life and moved on to better things.,1,,
482,The Almond and the Seahorse,Drama,en,Head Gear Films-Metrol Technology-Mad as Birds,0,0,95,Released,2022,For Gwen it's always 1999. The face in the mirror is unfamiliar and her partner isn't recognizable to her despite waking up together every day. Joe's past is coming undone and his partner Sarah fears she will be forgotten. A doctor refuses to give up on them determined not to let them unravel.,1,13,64
484,10 Truths About Love,TV Movie-Romance-Comedy-Family,en,Reel One Entertainment,0,0,85,Released,2022,Hannah a thriving romance columnist thinks she’s got life and love figured out… until her longtime boyfriend unexpectedly breaks up with her. At the same time Hannah’s editor hires a new writer Liam to work with her and give the column a male perspective. The two clash over their approach and sparks fly. To prove himself Liam offers to help Hannah get her ex-boyfriend back. But in the process of proving each other wrong they begin to realize they may be right for each other.,1,,
